"","master_key","cntyvtd","county"
"1","n292109","292109","Bexar"
"2","n294043","294043","Bexar"
"3","n390073","390073","Brazoria"
"4","n650101","650101","Carson"
"5","n850221","850221","Collin"
"6","n1134606","1134606","Dallas"
"7","n4850304","4850304","Wichita"
"8","n2150211","2150211","Hidalgo"
"9","n2450067","2450067","Jefferson"
"10","n2890003","2890003","Leon"
"11","n3210008","3210008","Matagorda"
"12","n4510201","4510201","Tom Green"
"13","n4550007","4550007","Trinity"
"14","n1133077","1133077","Dallas"
"15","n1131724","1131724","Dallas"
"16","n2010218","2010218","Harris"
"17","n2010881","2010881","Harris"
"18","n2010550","2010550","Harris"
"19","n2090112","2090112","Hays"
"20","n410018","410018","Brazos"
"21","n670021","670021","Cass"
"22","n850244","850244","Collin"
"23","n1134629","1134629","Dallas"
"24","n11330A4","11330A4","Dallas"
"25","n1131747","1131747","Dallas"
"26","n2010195","2010195","Harris"
"27","n2030025","2030025","Harrison"
"28","n2150188","2150188","Hidalgo"
"29","n2450044","2450044","Jefferson"
"30","n4890002","4890002","Willacy"
"31","n1330001","1330001","Eastland"
"32","n1410218","1410218","El Paso"
"33","n1573168","1573168","Fort Bend"
"34","n1870125","1870125","Guadalupe"
"35","n2010527","2010527","Harris"
"36","n2010858","2010858","Harris"
"37","n190409","190409","Bandera"
"38","n292064","292064","Bexar"
"39","n293202","293202","Bexar"
"40","n390027","390027","Brazoria"
"41","n2490004","2490004","Jim Wells"
"42","n2930303","2930303","Limestone"
"43","n3270004A","3270004A","Menard"
"44","n3550022","3550022","Nueces"
"45","n3810227","3810227","Randall"
"46","n4270004","4270004","Starr"
"47","n4394141","4394141","Tarrant"
"48","n4392310","4392310","Tarrant"
"49","n214022","214022","Bastrop"
"50","n294020","294020","Bexar"
"51","n292086","292086","Bexar"
"52","n390050","390050","Brazoria"
"53","n610083","610083","Cameron"
"54","n850198","850198","Collin"
"55","n3530008","3530008","Nolan"
"56","n3770004","3770004","Presidio"
"57","n4230057","4230057","Smith"
"58","n2010904","2010904","Harris"
"59","n2090218","2090218","Hays"
"60","n2150234","2150234","Hidalgo"
"61","n2450090","2450090","Jefferson"
"62","n2910018","2910018","Liberty"
"63","n323003B","323003B","Maverick"
"64","n294206","294206","Bexar"
"65","n291103","291103","Bexar"
"66","n850052","850052","Collin"
"67","n850058","850058","Collin"
"68","n1132300","1132300","Dallas"
"69","n1212091","1212091","Denton"
"70","n4910399","4910399","Williamson"
"71","n2592060","2592060","Kendall"
"72","n3390033","3390033","Montgomery"
"73","n38719-4","38719-4","Red River"
"74","n4010111","4010111","Rusk"
"75","n4392474","4392474","Tarrant"
"76","n4530275","4530275","Travis"
"77","n1510010B","1510010B","Fisher"
"78","n1572114","1572114","Fort Bend"
"79","n2010712","2010712","Harris"
"80","n2010049","2010049","Harris"
"81","n2150048","2150048","Hidalgo"
"82","n2150042","2150042","Hidalgo"
"83","n294189","294189","Bexar"
"84","n291080","291080","Bexar"
"85","n292041","292041","Bexar"
"86","n294183","294183","Bexar"
"87","n850035","850035","Collin"
"88","n1132144","1132144","Dallas"
"89","n4530246","4530246","Travis"
"90","n4710103","4710103","Walker"
"91","n3290208","3290208","Midland"
"92","n3390053","3390053","Montgomery"
"93","n3830003B","3830003B","Reagan"
"94","n4030001","4030001","Sabine"
"95","n4392402","4392402","Tarrant"
"96","n4393192","4393192","Tarrant"
"97","n1212068","1212068","Denton"
"98","n2010072","2010072","Harris"
"99","n2010735","2010735","Harris"
"100","n2150065","2150065","Hidalgo"
"101","n2610006","2610006","Kenedy"
"102","n2630401","2630401","Kent"
"103","n291057","291057","Bexar"
"104","n1132020","1132020","Dallas"
"105","n1134660","1134660","Dallas"
"106","n1213137","1213137","Denton"
"107","n1430046","1430046","Erath"
"108","n1573107","1573107","Fort Bend"
"109","n4393322","4393322","Tarrant"
"110","n4530433","4530433","Travis"
"111","n4690015","4690015","Victoria"
"112","n4930206","4930206","Wilson"
"113","n2010835","2010835","Harris"
"114","n2010172","2010172","Harris"
"115","n2010004","2010004","Harris"
"116","n3390075","3390075","Montgomery"
"117","n4070005","4070005","San Jacinto"
"118","n4394178","4394178","Tarrant"
"119","n1132408","1132408","Dallas"
"120","n1170003","1170003","Deaf Smith"
"121","n1212114","1212114","Denton"
"122","n1470011","1470011","Fannin"
"123","n1573044","1573044","Fort Bend"
"124","n2010027","2010027","Harris"
"125","n4530464","4530464","Travis"
"126","n467003A","467003A","Van Zandt"
"127","n4910434","4910434","Williamson"
"128","n2010689","2010689","Harris"
"129","n2010149","2010149","Harris"
"130","n4230071","4230071","Smith"
"131","n4394110","4394110","Tarrant"
"132","n4393385","4393385","Tarrant"
"133","n4530320","4530320","Travis"
"134","n250013","250013","Bee"
"135","n291017","291017","Bexar"
"136","n292103","292103","Bexar"
"137","n1133000","1133000","Dallas"
"138","n1134116","1134116","Dallas"
"139","n1270005","1270005","Dimmit"
"140","n4510112","4510112","Tom Green"
"141","n3410202","3410202","Moore"
"142","n3510014","3510014","Newton"
"143","n3670140","3670140","Parker"
"144","n4394048","4394048","Tarrant"
"145","n4392171","4392171","Tarrant"
"146","n4393447","4393447","Tarrant"
"147","n1410203","1410203","El Paso"
"148","n1574066","1574066","Fort Bend"
"149","n1870213","1870213","Guadalupe"
"150","n2010295","2010295","Harris"
"151","n2010627","2010627","Harris"
"152","n321001B","321001B","Matagorda"
"153","n294060","294060","Bexar"
"154","n410012","410012","Brazos"
"155","n850121","850121","Collin"
"156","n1131109","1131109","Dallas"
"157","n1213154","1213154","Denton"
"158","n1410097","1410097","El Paso"
"159","n3730010","3730010","Polk"
"160","n4190002","4190002","Shelby"
"161","n4230017","4230017","Smith"
"162","n4391625","4391625","Tarrant"
"163","n4570004","4570004","Tyler"
"164","n4870001A","4870001A","Wilbarger"
"165","n1670225","1670225","Galveston"
"166","n1990006","1990006","Hardin"
"167","n2010981","2010981","Harris"
"168","n213002M","213002M","Henderson"
"169","n2450050","2450050","Jefferson"
"170","n2870101","2870101","Lee"
"171","n270310","270310","Bell"
"172","n291063","291063","Bexar"
"173","n292149","292149","Bexar"
"174","n350010","350010","Bosque"
