master_key,DIST
n10001,n3
n10002,n3
n10003,n3
n10004,n3
n10005,n3
n10006,n3
n10007,n3
n10008,n3
n10009,n3
n10010,n3
n10011,n3
n10013,n3
n10015,n3
n10016,n3
n10017,n3
n10018,n3
n10019,n3
n10020,n3
n10021,n3
n10022,n3
n10023,n3
n10024,n3
n30001,n31
n30002,n31
n30003,n31
n30004,n31
n50001,n3
n50002,n3
n50003,n3
n50004,n3
n50005,n3
n50006,n3
n50007,n3
n50008,n3
n50009,n3
n50010A,n3
n50010B,n3
n50011,n3
n50012,n3
n50013,n3
n50014,n3
n50015,n3
n50016,n3
n50017,n3
n50018,n3
n50019,n3
n50020,n3
n50021,n3
n50022,n3
n50023,n3
n50024,n3
n50025,n3
n50026,n3
n50027,n3
n50028,n3
n50029,n3
n50030,n3
n50031,n3
n50032,n3
n50033,n3
n50034,n3
n50035,n3
n50037,n3
n50038,n3
n50039,n3
n50040,n3
n5011B,n3
n5017B,n3
n70001,n18
n70002,n18
n70003,n18
n70004,n18
n7001A,n18
n90001,n30
n90002,n30
n90003,n30
n90004,n30
n90005,n30
n90006,n30
n90007,n30
n90008,n30
n90009,n30
n90010,n30
n90011,n30
n90012,n30
n90013,n30
n110101,n31
n110201,n31
n110202,n31
n110301,n31
n110303,n31
n110401,n31
n110402,n31
n110404,n31
n130001,n19
n130003,n24
n130004,n19
n130005,n19
n130006,n19
n130007,n19
n130008,n24
n130009,n24
n130010,n24
n130011,n24
n130012,n24
n130013,n24
n130014,n19
n130015,n24
n130017,n24
n130018,n19
n130019,n24
n130020,n24
n130021,n19
n130022,n19
n150101,n18
n150102,n18
n150103,n18
n150104,n18
n150205,n18
n150206,n18
n150207,n18
n150309,n18
n150310,n18
n150311,n18
n150412,n18
n150413,n18
n150414,n18
n150415,n18
n170001,n31
n170002,n31
n170003,n31
n170004A,n31
n170004B,n31
n190101,n24
n190102,n24
n190203,n24
n190204,n24
n190305,n24
n190306,n24
n190407,n24
n190408,n24
n190409,n24
n190410,n24
n211001,n5
n211002,n5
n211003,n5
n211004,n5
n211005,n5
n211006,n5
n211007,n5
n211008,n5
n211009,n5
n212010,n5
n212011,n5
n212012,n5
n212013,n5
n212014,n5
n212015,n5
n212016,n5
n213017,n5
n213018,n5
n213019,n5
n213020,n5
n214021,n5
n214022,n5
n214023,n5
n214024,n5
n214025,n5
n214026,n5
n230001,n28
n230002,n28
n230003,n28
n230004,n28
n250001,n27
n250002,n27
n250003,n27
n250004,n27
n250005,n27
n250006,n27
n250009,n27
n250010,n27
n250013,n27
n250016,n27
n250017,n27
n250018,n27
n250019,n27
n270101,n24
n270102,n24
n270103,n24
n270104,n24
n270105,n24
n270106,n24
n270107,n24
n270108,n24
n270109,n24
n270110,n24
n270111,n24
n270113,n24
n270114,n24
n270115,n24
n270116,n24
n270117,n24
n270201,n24
n270202,n24
n270203,n24
n270204,n24
n270205,n24
n270206,n24
n270207,n24
n270208,n24
n270209,n24
n270210,n24
n270211,n24
n270212,n24
n270213,n24
n270214,n24
n270215,n24
n270216,n24
n270301,n24
n270302,n24
n270303,n24
n270304,n24
n270305,n24
n270306,n24
n270307,n24
n270308,n24
n270309,n24
n270310,n24
n270311,n24
n270312,n24
n270313,n24
n270314,n24
n270315,n24
n270317,n24
n270318,n24
n270401,n24
n270402,n24
n270404,n24
n270405,n24
n270406,n24
n270408,n24
n270409,n24
n270410,n24
n270412,n24
n270413,n24
n270414,n24
n270415,n24
n270419,n24
n291002,n26
n291003,n26
n291004,n26
n291005,n26
n291006,n26
n291007,n26
n291008,n26
n291009,n26
n291010,n26
n291011,n19
n291012,n26
n291013,n26
n291014,n19
n291015,n19
n291016,n19
n291017,n19
n291018,n19
n291019,n19
n291020,n19
n291021,n19
n291022,n19
n291023,n19
n291024,n26
n291025,n19
n291026,n19
n291027,n26
n291028,n19
n291029,n26
n291030,n19
n291031,n26
n291032,n26
n291033,n19
n291034,n19
n291035,n19
n291036,n19
n291037,n19
n291038,n19
n291039,n19
n291040,n19
n291041,n19
n291042,n19
n291043,n26
n291044,n19
n291045,n19
n291046,n19
n291047,n19
n291048,n19
n291049,n19
n291050,n19
n291051,n19
n291052,n19
n291053,n19
n291054,n19
n291055,n19
n291056,n19
n291057,n21
n291058,n19
n291059,n19
n291060,n19
n291061,n19
n291062,n19
n291063,n19
n291064,n19
n291065,n19
n291066,n19
n291067,n19
n291068,n19
n291069,n19
n291070,n26
n291071,n26
n291072,n26
n291073,n19
n291074,n26
n291075,n19
n291076,n26
n291077,n26
n291079,n26
n291080,n26
n291081,n19
n291082,n26
n291083,n26
n291085,n26
n291086,n26
n291087,n26
n291088,n26
n291089,n26
n291090,n19
n291091,n19
n291092,n19
n291093,n19
n291094,n19
n291095,n19
n291096,n26
n291097,n19
n291098,n26
n291099,n26
n291100,n26
n291101,n19
n291102,n19
n291103,n19
n291104,n26
n291105,n19
n291106,n19
n291107,n19
n291108,n19
n291110,n19
n291111,n19
n291112,n26
n291113,n19
n291114,n19
n291115,n19
n291116,n19
n291117,n19
n291118,n19
n291119,n26
n291120,n26
n291121,n19
n291122A,n19
n291122B,n19
n291123,n19
n291124,n19
n291125,n19
n291126,n26
n291127,n19
n291128,n19
n291129,n19
n291130,n19
n291131,n19
n291132,n19
n291133,n19
n291134,n19
n291135,n19
n291136,n26
n291137,n19
n291138,n26
n291139,n26
n291140,n19
n291141,n19
n291142,n26
n291143,n19
n291144,n19
n291145,n19
n291146,n19
n291147,n26
n291148,n26
n291149,n26
n291150,n19
n291151,n19
n291152,n19
n291153,n19
n291154A,n19
n291154B,n19
n291154C,n19
n291155,n26
n291156,n19
n291157,n26
n291158,n26
n291159,n19
n292001,n26
n292002,n26
n292003,n26
n292004,n26
n292005,n26
n292006,n26
n292007,n26
n292008,n26
n292009,n26
n292010,n26
n292011,n26
n292012,n26
n292013,n26
n292014,n26
n292015,n26
n292016,n26
n292017,n26
n292018,n26
n292019,n26
n292020,n26
n292021,n26
n292022,n26
n292023,n26
n292024,n26
n292025,n26
n292026,n26
n292027,n26
n292028,n26
n292029,n26
n292030,n26
n292031,n26
n292032,n26
n292033,n26
n292034,n26
n292035,n26
n292036,n26
n292037,n26
n292038,n26
n292039,n26
n292040,n26
n292041,n26
n292042,n26
n292043,n26
n292044,n26
n292045,n26
n292046,n26
n292047,n26
n292048,n26
n292049,n26
n292050,n26
n292051,n26
n292052,n26
n292053,n26
n292054,n26
n292055,n26
n292056,n26
n292057,n26
n292058,n26
n292059,n26
n292061,n26
n292062,n26
n292063,n25
n292064,n26
n292065A,n19
n292065B,n19
n292066,n19
n292067,n26
n292068,n26
n292069,n26
n292070,n26
n292071,n26
n292072,n26
n292073,n26
n292074,n26
n292075,n26
n292076,n26
n292077,n26
n292078,n26
n292079,n26
n292080,n26
n292081,n26
n292082,n26
n292083,n26
n292084,n26
n292085,n26
n292086,n26
n292087,n26
n292088,n26
n292089,n26
n292090,n26
n292091,n26
n292092,n26
n292093,n19
n292094,n26
n292095,n26
n292096,n26
n292097,n26
n292098,n26
n292099,n19
n292100,n26
n292101,n26
n292102,n26
n292103,n26
n292104,n26
n292105,n26
n292106,n26
n292107,n19
n292108,n26
n292109,n26
n292110,n26
n292111,n26
n292112,n26
n292113,n26
n292114,n26
n292115,n19
n292116,n26
n292117,n26
n292118,n26
n292119,n26
n292120,n19
n292121,n26
n292122,n26
n292123,n19
n292124,n26
n292125,n19
n292126,n26
n292127,n26
n292128,n26
n292129,n25
n292130,n26
n292131,n26
n292132,n26
n292133,n26
n292134,n26
n292135,n26
n292136,n19
n292137,n26
n292138,n26
n292139,n19
n292140,n26
n292141,n26
n292142,n26
n292143,n26
n292144,n26
n292145,n26
n292146,n26
n292147,n19
n292148,n26
n292149,n26
n292150,n26
n292151,n26
n292152,n26
n292153,n26
n292154,n19
n292155,n26
n292156,n26
n292157,n26
n292158,n19
n292159,n26
n292160,n19
n292161,n26
n292162,n26
n292163,n26
n292164,n26
n292165,n19
n292166,n26
n292167,n26
n292168,n26
n292169,n26
n292170,n19
n292171,n26
n292172,n26
n292173,n26
n292174,n26
n292175,n26
n292176,n19
n292177,n26
n292178,n26
n292179,n19
n292180A,n19
n292180B,n19
n292181A,n19
n292181B,n19
n292181C,n19
n292181D,n19
n292181E,n19
n292181F,n19
n292181G,n19
n292182A,n19
n292182B,n19
n292182C,n19
n293001,n25
n293002,n19
n293003,n19
n293004,n25
n293005,n25
n293006,n26
n293007,n25
n293008,n19
n293009,n25
n293010,n26
n293011,n26
n293012,n25
n293013,n26
n293014,n26
n293015,n26
n293016,n26
n293017,n25
n293018,n25
n293019,n25
n293020,n25
n293021,n25
n293022,n25
n293023,n25
n293024,n26
n293025,n25
n293026,n25
n293027,n25
n293028,n25
n293029,n26
n293030,n25
n293031,n26
n293032,n19
n293033,n25
n293034,n25
n293035,n26
n293036,n19
n293037,n25
n293038,n26
n293039,n25
n293040,n25
n293041,n26
n293042,n25
n293043,n25
n293044,n26
n293045,n25
n293046,n25
n293047,n25
n293048,n25
n293049,n25
n293050,n25
n293051,n25
n293052,n25
n293053,n25
n293054,n26
n293055,n25
n293056,n26
n293057,n26
n293058,n26
n293059,n25
n293060,n25
n293061,n25
n293062,n26
n293063,n26
n293064,n26
n293065,n25
n293066,n26
n293067,n26
n293068,n26
n293069,n26
n293070,n26
n293071,n26
n293072,n25
n293073,n26
